"","Education","MaritalStatus","HHIncome2"
"4372","Some College","Widowed","20000-24999"
"4373","Some College","Widowed","35000-44999"
"4374","Some College","Widowed","35000-44999"
"4375","Some College","Widowed","35000-44999"
"4376","Some College","NeverMarried","more 99999"
"4377","Some College","NeverMarried","more 99999"
"4378","Some College","NeverMarried","more 99999"
"4379","Some College","NeverMarried","<20000"
"4380","Some College","Married","more 99999"
"4381","Some College","Married","more 99999"
"4382","College Grad","Married","75000-99999"
"4383","College Grad","Married","75000-99999"
"4384","College Grad","Married","75000-99999"
"4385","College Grad","Married","more 99999"
"4386","College Grad","Married","more 99999"
"4387","College Grad","Married","more 99999"
"4388","College Grad","Married","more 99999"
"4389","College Grad","Married","more 99999"
"4390","Some College","Married","20000-24999"
"4391","Some College","Married","20000-24999"
"4392","Some College","Married","65000-74999"
"4393","High School","Married","<20000"
"4394","Some College","Married","25000-34999"
"4395","College Grad","Married","more 99999"
"4396","High School","Married","more 99999"
"4397","High School","Married","more 99999"
"4398","High School","Married","more 99999"
"4399","High School","Married","more 99999"
"4400","High School","NeverMarried","35000-44999"
"4401","Some College","Widowed","<20000"
"4402","Some College","Married","more 99999"
"4403","Some College","NeverMarried","<20000"
"4404","9 - 11th Grade","NeverMarried","more 99999"
"4405","9 - 11th Grade","NeverMarried","more 99999"
"4406","9 - 11th Grade","NeverMarried","more 99999"
"4407","College Grad","NeverMarried","45000-54999"
"4408","Some College","NeverMarried","<20000"
"4409","High School","Married","25000-34999"
"4410","College Grad","Widowed","more 99999"
"4411","College Grad","Married","45000-54999"
"4412","8th Grade","Widowed","<20000"
"4413","College Grad","Divorced","75000-99999"
"4414","Some College","NeverMarried","35000-44999"
"4415","High School","Married","45000-54999"
"4416","College Grad","Married","more 99999"
"4417","College Grad","Married","more 99999"
"4418","High School","Married","20000-24999"
"4419","College Grad","Divorced","55000-64999"
"4420","College Grad","Divorced","55000-64999"
"4421","College Grad","Divorced","55000-64999"
"4422","College Grad","Divorced","55000-64999"
"4423","College Grad","Divorced","55000-64999"
"4424","High School","Married","more 99999"
"4425","Some College","NeverMarried","<20000"
"4426","High School","Married","<20000"
"4427","High School","Married","<20000"
"4428","Some College","NeverMarried","20000-24999"
"4429","9 - 11th Grade","Married","25000-34999"
"4430","9 - 11th Grade","Married","<20000"
"4431","High School","Married","<20000"
"4432","College Grad","Married","more 99999"
"4433","Some College","Married","45000-54999"
"4434","College Grad","Married","35000-44999"
"4435","9 - 11th Grade","Widowed","<20000"
"4436","Some College","Divorced","20000-24999"
"4437","High School","NeverMarried","<20000"
"4438","High School","NeverMarried","<20000"
"4439","High School","NeverMarried","<20000"
"4440","College Grad","NeverMarried","more 99999"
"4441","College Grad","LivePartner","more 99999"
"4442","Some College","NeverMarried","25000-34999"
"4443","Some College","LivePartner","75000-99999"
"4444","High School","LivePartner","more 99999"
"4445","High School","LivePartner","more 99999"
"4446","High School","LivePartner","more 99999"
"4447","High School","LivePartner","more 99999"
"4448","8th Grade","Married","25000-34999"
"4449","8th Grade","Married","25000-34999"
"4450","College Grad","NeverMarried","55000-64999"
"4451","Some College","Married","more 99999"
"4452","High School","Married","45000-54999"
"4453","High School","Married","more 99999"
"4454","High School","NeverMarried","45000-54999"
"4455","College Grad","NeverMarried","75000-99999"
"4456","College Grad","NeverMarried","75000-99999"
"4457","College Grad","NeverMarried","75000-99999"
"4458","College Grad","NeverMarried","75000-99999"
"4459","College Grad","NeverMarried","75000-99999"
"4460","College Grad","NeverMarried","more 99999"
"4461","College Grad","NeverMarried","<20000"
"4462","College Grad","NeverMarried","<20000"
"4463","Some College","Widowed","25000-34999"
"4464","Some College","Widowed","25000-34999"
"4465","9 - 11th Grade","Married","20000-24999"
"4466","College Grad","Divorced","35000-44999"
"4467","Some College","NeverMarried","<20000"
"4468","High School","NeverMarried","<20000"
"4469","High School","Divorced","20000-24999"
"4470","High School","Divorced","20000-24999"
"4471","High School","Divorced","20000-24999"
"4472","College Grad","Married","75000-99999"
"4473","College Grad","Married","75000-99999"
"4474","College Grad","Married","75000-99999"
"4475","College Grad","Married","75000-99999"
"4476","College Grad","Married","more 99999"
"4477","College Grad","Married","more 99999"
"4478","College Grad","Married","more 99999"
"4479","College Grad","Married","35000-44999"
"4480","College Grad","NeverMarried","75000-99999"
"4481","College Grad","NeverMarried","55000-64999"
"4482","Some College","Divorced","75000-99999"
"4483","Some College","NeverMarried","<20000"
"4484","9 - 11th Grade","Married","55000-64999"
"4485","College Grad","Divorced","65000-74999"
"4486","College Grad","Divorced","65000-74999"
"4487","High School","Married","45000-54999"
"4488","Some College","Married","more 99999"
"4489","Some College","Married","more 99999"
"4490","Some College","Married","more 99999"
"4491","Some College","Married","more 99999"
"4492","Some College","Married","more 99999"
"4493","High School","Divorced","25000-34999"
"4494","High School","Divorced","25000-34999"
"4495","High School","Divorced","25000-34999"
"4496","High School","Divorced","25000-34999"
"4497","High School","Divorced","25000-34999"
"4498","Some College","Divorced","45000-54999"
"4499","8th Grade","Separated","<20000"
"4500","9 - 11th Grade","Widowed","<20000"
"4501","9 - 11th Grade","Widowed","<20000"
"4502","9 - 11th Grade","LivePartner","<20000"
"4503","Some College","NeverMarried","35000-44999"
"4504","Some College","Widowed","25000-34999"
"4505","High School","Married","75000-99999"
"4506","Some College","Married","45000-54999"
"4507","Some College","Married","45000-54999"
"4508","Some College","Married","45000-54999"
"4509","8th Grade","LivePartner","45000-54999"
"4510","High School","NeverMarried","more 99999"
"4511","Some College","Married","more 99999"
"4512","Some College","Married","more 99999"
"4513","High School","Married","<20000"
"4514","High School","Married","<20000"
"4515","High School","LivePartner","<20000"
"4516","College Grad","Married","75000-99999"
"4517","College Grad","Married","more 99999"
"4518","High School","Married","25000-34999"
"4519","High School","NeverMarried","25000-34999"
"4520","9 - 11th Grade","LivePartner","35000-44999"
"4521","College Grad","Married","75000-99999"
"4522","College Grad","NeverMarried","65000-74999"
"4523","College Grad","NeverMarried","65000-74999"
"4524","Some College","Divorced","35000-44999"
"4525","Some College","Divorced","35000-44999"
"4526","Some College","NeverMarried","more 99999"
"4527","High School","Married","<20000"
"4528","Some College","NeverMarried","more 99999"
"4529","College Grad","Married","more 99999"
"4530","College Grad","Married","more 99999"
"4531","College Grad","Married","more 99999"
"4532","Some College","Married","75000-99999"
"4533","Some College","Married","75000-99999"
"4534","Some College","Married","75000-99999"
"4535","High School","Married","55000-64999"
"4536","College Grad","Married","25000-34999"
"4537","College Grad","Married","25000-34999"
"4538","College Grad","Married","25000-34999"
"4539","9 - 11th Grade","Widowed","20000-24999"
"4540","9 - 11th Grade","Separated","<20000"
"4541","College Grad","NeverMarried","65000-74999"
"4542","College Grad","NeverMarried","more 99999"
"4543","College Grad","NeverMarried","more 99999"
"4544","High School","Married","20000-24999"
"4545","High School","Married","20000-24999"
"4546","High School","NeverMarried","<20000"
"4547","High School","NeverMarried","<20000"
"4548","College Grad","Divorced","75000-99999"
"4549","Some College","Divorced","25000-34999"
"4550","College Grad","LivePartner","more 99999"
"4551","College Grad","LivePartner","more 99999"
"4552","College Grad","LivePartner","more 99999"
"4553","College Grad","LivePartner","more 99999"
"4554","College Grad","Married","65000-74999"
"4555","College Grad","Married","65000-74999"
"4556","College Grad","Married","more 99999"
"4557","Some College","NeverMarried","25000-34999"
"4558","Some College","NeverMarried","25000-34999"
"4559","Some College","NeverMarried","25000-34999"
"4560","Some College","NeverMarried","25000-34999"
"4561","8th Grade","Widowed","<20000"
"4562","8th Grade","Widowed","<20000"
"4563","9 - 11th Grade","Married","35000-44999"
"4564","High School","NeverMarried","more 99999"
"4565","Some College","LivePartner","<20000"
"4566","College Grad","Divorced","75000-99999"
"4567","College Grad","Divorced","75000-99999"
"4568","College Grad","Divorced","75000-99999"
"4569","Some College","Married","45000-54999"
"4570","Some College","Married","45000-54999"
"4571","Some College","Married","45000-54999"
"4572","High School","Married","20000-24999"
"4573","High School","Married","20000-24999"
"4574","College Grad","Separated","<20000"
"4575","College Grad","Married","75000-99999"
"4576","9 - 11th Grade","NeverMarried","20000-24999"
"4577","College Grad","Married","25000-34999"
"4578","College Grad","Married","25000-34999"
"4579","Some College","Married","65000-74999"
"4580","Some College","NeverMarried","25000-34999"
"4581","Some College","NeverMarried","25000-34999"
"4582","Some College","NeverMarried","25000-34999"
"4583","Some College","NeverMarried","25000-34999"
"4584","Some College","NeverMarried","25000-34999"
"4585","College Grad","Married","more 99999"
"4586","College Grad","NeverMarried","65000-74999"
"4587","College Grad","NeverMarried","65000-74999"
"4588","Some College","NeverMarried","more 99999"
"4589","High School","Divorced","45000-54999"
"4590","College Grad","LivePartner","more 99999"
"4591","9 - 11th Grade","Married","<20000"
"4592","9 - 11th Grade","Married","<20000"
"4593","College Grad","Divorced","more 99999"
"4594","College Grad","Married","25000-34999"
"4595","Some College","Married","75000-99999"
"4596","Some College","Married","75000-99999"
"4597","Some College","Married","75000-99999"
"4598","Some College","Married","75000-99999"
"4599","Some College","LivePartner","75000-99999"
"4600","Some College","Married","55000-64999"
"4601","Some College","Married","55000-64999"
"4602","Some College","Married","55000-64999"
"4603","Some College","Married","55000-64999"
"4604","Some College","LivePartner","25000-34999"
"4605","Some College","Divorced","35000-44999"
"4606","Some College","Divorced","35000-44999"
"4607","Some College","Divorced","35000-44999"
"4608","Some College","Divorced","35000-44999"
"4609","Some College","Married","75000-99999"
"4610","Some College","Married","75000-99999"
"4611","Some College","Married","75000-99999"
"4612","9 - 11th Grade","NeverMarried","<20000"
"4613","Some College","Married","45000-54999"
"4614","8th Grade","LivePartner","<20000"
"4615","High School","Married","20000-24999"
"4616","9 - 11th Grade","Widowed","35000-44999"
"4617","High School","Married","35000-44999"
"4618","High School","NeverMarried","<20000"
"4619","8th Grade","NeverMarried","<20000"
"4620","High School","Divorced","35000-44999"
"4621","Some College","Married","55000-64999"
"4622","College Grad","Married","35000-44999"
"4623","High School","LivePartner","<20000"
"4624","College Grad","NeverMarried","25000-34999"
"4625","College Grad","NeverMarried","25000-34999"
"4626","8th Grade","Married","<20000"
"4627","College Grad","Married","more 99999"
"4628","Some College","Married","more 99999"
"4629","Some College","Married","more 99999"
"4630","Some College","Married","more 99999"
"4631","Some College","Married","more 99999"
"4632","Some College","Married","more 99999"
"4633","Some College","Married","more 99999"
"4634","College Grad","Married","65000-74999"
"4635","College Grad","NeverMarried","more 99999"
"4636","College Grad","NeverMarried","more 99999"
